id	region_id	timestamp	type	participants	vehicles	victims	fatalities	city	street	house	road	km	m	places	problems	reasons
172891111	80512	2015-06-29 15:15:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул Двинская	7				Нерегулируемый перекрёсток неравнозначных улиц (дорог); Нерегулируемый пешеходный переход		Водитель: Нарушение правил проезда пешеходного перехода
172891109	80512	2015-06-29 15:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул Невская	7А				Регулируемый пешеходный переход		Пешеход: Неподчинение сигналам регулирования
172958419	80512	2015-06-28 06:20:00	Столкновение	3	2	1	1	г Волгоград	ул им Менделеева	236				Перегон (нет объектов на месте ДТП)		Водитель: Несоблюдение бокового интервала
172928137	80512	2015-06-28 01:35:00	Столкновение	2	2	1	0	г Волгоград	ул Комсомольская	10				Регулируемый перекресток		Водитель: Нарушение требований сигналов светофора
172934285	80512	2015-06-27 15:15:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул им академика Богомольца	3				Перегон (нет объектов на месте ДТП)		Пешеход: Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка)
172523911	80512	2015-06-24 15:00:00	Столкновение	2	2	1	0	г Волгоград	ул Песчаная	1				Регулируемый перекресток		Водитель: Несоблюдение очередности проезда; Водитель: Другие нарушения ПДД водителем
172577985	80512	2015-06-24 21:30:00	Столкновение	3	2	2	0	г Волгоград	ул им Землячки			0	0	Регулируемый перекресток		Водитель: Несоблюдение очередности проезда
172854870	80512	2015-06-24 12:40:00	Столкновение	3	3	1	0	г Волгоград				0	0	Нерегулируемый перекрёсток неравнозначных улиц (дорог)	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах	Водитель: Несоблюдение очередности проезда
173104353	80512	2015-06-23 20:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул им Константина Симонова	6				Регулируемый пешеходный переход; Регулируемый перекресток		Водитель: Нарушение правил проезда пешеходного перехода
172405775	80512	2015-06-23 07:25:00	Столкновение	3	2	1	0	г Волгоград	ул Лимоновая	1				Регулируемый перекресток		Водитель: Несоблюдение очередности проезда
172485076	80512	2015-06-23 16:40:00	Столкновение	3	2	3	0	г Волгоград	ш Авиаторов	90	Волгограду			Перегон (нет объектов на месте ДТП)		Водитель: Неправильный выбор дистанции
